a,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,s,,,,removed from correlation eval,,,,
EQPDAYS,1.78,7.51,6.21,10.19,,,,,removed from initial RF variable importance review,,,,
MONTHS,6.07,4.28,7.5,8.14,,,,,removed in second attept of initial RF variable importance results,,,,
WEBCAP,3.36,4.17,5.43,1.84,,,,,new 8/2 attempt,,"simmilar results to pilot, lower overall, but better churn ppredictions",,
REFURB,3.35,2.83,4.31,2.26,,,,,8/2 attempt for highest AUC,,,,
MODELS,1.9,2.68,3.22,1.56,,,,,"8/2 more inclusive with negitive churn impact, but still considering correlation",,,,
RETACCPT,2.26,2.11,3.01,0.62,,,,,8/2 with only more impactful items,,,,
PHONES,-0.06,1.17,0.67,1.91,,,,,8/2 after review of categoric varibles,,,,seed 521
MCYCLE,0,1,1,0.03,,,,,,,,,
DIRECTAS,-3.21,0.6,-2.5,3.42,,,,,,,,,
UNIQSUBS,1.88,0.58,1.86,1.95,,,,,,,,,
PRZM_NUM,1.42,0.54,1.42,4.71,,,,,,,,,
MAILFLAG,0.64,0.46,0.73,0.2,,,,,,,,,
THREEWAY,-1.76,0.4,-1.19,2.16,,,,,,,,,
RETCALL,2.19,0.13,1.79,0.44,,,,,,,,,
PCOWN,0.79,0.1,0.69,0.83,,,,,,,,,
CALLFWDV,0,0,0,0,,,,,,,,,
CHANGEM,1.43,-0.07,1.34,8.52,,,,,,,,,
NEWCELLN,-2.83,-0.17,-2.33,0.78,,,,,,,,,
CHANGER,0.36,-0.24,0.17,7.82,,,,,,,,,
TRAVEL,1.97,-0.32,1.6,0.32,,,,,,,,,
ACTVSUBS,0.4,-0.33,0.04,1.22,,,,,,,,,
MAILRES,3.41,-0.36,2.77,1.3,,,,,,,,,
NEWCELLY,0.18,-0.52,-0.17,1.11,,,,,,,,,
CREDITAD,-0.12,-0.53,-0.36,0.35,,,,,,,,,
INCOME,-4.35,-0.65,-3.99,10.08,,,,,,,,,
OUTCALLS,5.93,-0.69,5.88,6.51,,,,,,,,,
CHILDREN,-1.58,-0.75,-1.79,0.88,,,,,,,,,
OCC,0.75,-0.82,0.16,2.42,,,,,,,,,
CREDIT_RATING,-0.7,-1.11,-1.58,6.12,,,,,,,,,
TRUCK,0.19,-1.2,-0.57,0.81,,,,,,,,,
OWNRENT,-0.32,-1.45,-1.16,0.88,,,,,,,,,
MARRY,-0.01,-1.52,-0.96,2.28,,,,,,,,,
RV,-0.85,-1.72,-1.56,0.42,,,,,,,,,
MAILORD,4.7,-1.81,3.7,1.43,,,,,,,,,
SETPRC,0.05,-1.82,-0.98,3.66,,,,,,,,,
CREDITCD,1.6,-1.89,0.19,0.91,,,,,,,,,
RETCALLS,-1.17,-2,-2.07,0.44,,,,,,,,,
ROAM,1.64,-2.49,-0.24,3.44,,,,,,,,,
REFER,-0.89,-2.67,-2.07,0.27,,,,,,,,,
DROPVCE,3.73,-2.8,1.95,4.79,,,,,,,,,
AGE1,1.61,-3.07,-0.36,6.27,,,,,,,,,
OVERAGE,1.98,-3.1,0.23,4.45,,,,,,,,,
OPEAKVCE,7.6,-3.42,6.83,6.9,,,,,,,,,
PEAKVCE,5.99,-3.51,4.33,6.39,,,,,,,,,
CUSTCARE,1.46,-3.62,-0.86,2.81,,,,,,,,,
BLCKVCE,4.76,-4.39,1.86,4.78,,,,,,,,,
MOUREC,9.72,-4.52,7.39,6.97,,,,,,,,,
CALLWAIT,4.71,-5.1,1.7,2.59,,,,,,,,,
MOU,9.38,-5.39,7.37,7.85,,,,,,,,,
RECCHRGE,8.66,-5.56,5.64,6.22,,,,,,,,,
INCALLS,5.14,-5.83,1.68,4.87,,,,,,,,,
REVENUE,7.93,-6.52,4.78,6.66,,,,,,,,,
DROPBLK,9.72,-6.92,6.63,5.31,,,,,,,,,
UNANSVCE,6.75,-7.23,2.24,6.16,,,,,,,,,
